sentence,word,options,answer,explanation
"奶(ㄋㄞˇ) 奶(ㄋㄞˇ) 朝(ㄓㄠ) 思(ㄙ) 暮(ㄇㄨˋ) 想(ㄒㄧㄤˇ) 著(˙ㄓㄜ) 遠(ㄩㄢˇ) 方(ㄈㄤ) 的(˙ㄉㄜ) 孫(ㄙㄨㄣ) 子(˙ㄗ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄓㄠ,「朝思暮想」的朝讀作 ㄓㄠ。
"政(ㄓㄥˋ) 府(ㄈㄨˇ) 做(ㄗㄨㄛˋ) 事(ㄕˋ) 不(ㄅㄨˋ) 能(ㄋㄥˊ) 朝(ㄓㄠ) 令(ㄌㄧㄥˋ) 夕(ㄒㄧˋ) 改(ㄍㄞˇ) ， 否(ㄈㄡˇ) 則(ㄗㄜˊ) 人(ㄖㄣˊ) 民(ㄇㄧㄣˊ) 會(ㄏㄨㄟˋ) 無(ㄨˊ) 所(ㄙㄨㄛˇ) 適(ㄕˋ) 從(ㄘㄨㄥˊ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄓㄠ,「朝令夕改」的朝讀作 ㄓㄠ。
"這(ㄓㄜˋ) 間(ㄐㄧㄢ) 房(ㄈㄤˊ) 子(˙ㄗ) 坐(ㄗㄨㄛˋ) 北(ㄅㄟˇ) 朝(ㄔㄠˊ) 南(ㄋㄢˊ) ， 採(ㄘㄞˇ) 光(ㄍㄨㄤ) 很(ㄏㄣˇ) 好(ㄏㄠˇ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「坐北朝南」的朝讀作 ㄔㄠˊ。
"信(ㄒㄧㄣˋ) 徒(ㄊㄨˊ) 們(˙ㄇㄣ) 一(ㄧˋ) 早(ㄗㄠˇ) 就(ㄐㄧㄡˋ) 到(ㄉㄠˋ) 寺(ㄙˋ) 廟(ㄇㄧㄠˋ) 朝(ㄔㄠˊ) 拜(ㄅㄞˋ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「朝拜」的朝讀作 ㄔㄠˊ。
"每(ㄇㄟˇ) 年(ㄋㄧㄢˊ) 都(ㄉㄡ) 有(ㄧㄡˇ) 許(ㄒㄩˇ) 多(ㄉㄨㄛ) 人(ㄖㄣˊ) 到(ㄉㄠˋ) 名(ㄇㄧㄥˊ) 山(ㄕㄢ) 古(ㄍㄨˇ) 寺(ㄙˋ) 朝(ㄔㄠˊ) 聖(ㄕㄥˋ) 。",朝,ㄓㄠ|ㄔㄠˊ,ㄔㄠˊ,「朝聖」的朝讀作 ㄔㄠˊ。
"寫(ㄒㄧㄝˇ) 功(ㄍㄨㄥ) 課(ㄎㄜˋ) 時(ㄕˊ) 要(ㄧㄠˋ) 仔(ㄗˇ) 細(ㄒㄧˋ) 檢(ㄐㄧㄢˇ) 查(ㄔㄚˊ) 。",仔,ㄗˇ|ㄗㄞˇ,ㄗˇ,「仔細」的仔讀作 ㄗˇ。
"奶(ㄋㄞˇ) 奶(ㄋㄞˇ) 很(ㄏㄣˇ) 喜(ㄒㄧˇ) 歡(ㄏㄨㄢ) 看(ㄎㄢˋ) 歌(ㄍㄜ) 仔(ㄗˇ) 戲(ㄒㄧˋ) 。",仔,ㄗˇ|ㄗㄞˇ,ㄗㄞˇ,「歌仔戲」的仔讀作 ㄗˇ。
"哥(ㄍㄜ) 哥(˙ㄍㄜ) 穿(ㄔㄨㄢ) 著(˙ㄓㄜ) 藍(ㄌㄢˊ) 色(ㄙㄜˋ) 牛(ㄋㄧㄡˊ) 仔(ㄗㄞˇ) 褲(ㄎㄨˋ) 去(ㄑㄩˋ) 上(ㄕㄤˋ) 學(ㄒㄩㄝˊ) 。",仔,ㄗˇ|ㄗㄞˇ,ㄗㄞˇ,「牛仔褲」的仔讀作 ㄗㄞˇ。
"老(ㄌㄠˇ) 師(ㄕ) 正(ㄓㄥˋ) 在(ㄗㄞˋ) 教(ㄐㄧㄠ) 我(ㄨㄛˇ) 們(˙ㄇㄣ) 認(ㄖㄣˋ) 識(ㄕˋ) 量(ㄌㄧㄤˋ) 詞(ㄘˊ) 的(˙ㄉㄜ) 用(ㄩㄥˋ) 法(ㄈㄚˇ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˋ,「量詞」的量讀作 ㄌㄧㄤˋ。
"團(ㄊㄨㄢˊ) 結(ㄐㄧㄝˊ) 力(ㄌㄧˋ) 量(ㄌㄧㄤˋ) 大(ㄉㄚˋ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˋ,「力量」的量讀作 ㄌㄧㄤˋ。
"做(ㄗㄨㄛˋ) 人(ㄖㄣˊ) 要(ㄧㄠˋ) 有(ㄧㄡˇ) 氣(ㄑㄧˋ) 量(ㄌㄧㄤˋ) ， 不(ㄅㄨˋ) 能(ㄋㄥˊ) 太(ㄊㄞˋ) 小(ㄒㄧㄠˇ) 心(ㄒㄧㄣ) 眼(ㄧㄢˇ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˋ,「氣量」的量讀作 ㄌㄧㄤˋ。
"這(ㄓㄜˋ) 個(˙ㄍㄜ) 箱(ㄒㄧㄤ) 子(˙ㄗ) 的(˙ㄉㄜ) 重(ㄓㄨㄥˋ) 量(ㄌㄧㄤˋ) 很(ㄏㄣˇ) 重(ㄓㄨㄥˋ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˋ,「重量」的量讀作 ㄌㄧㄤˋ。
"弟(ㄉㄧˋ) 弟(˙ㄉㄧ) 正(ㄓㄥˋ) 在(ㄗㄞˋ) 長(ㄓㄤˇ) 大(ㄉㄚˋ) ， 所(ㄙㄨㄛˇ) 以(ㄧˇ) 飯(ㄈㄢˋ) 量(ㄌㄧㄤˋ) 變(ㄅㄧㄢˋ) 大(ㄉㄚˋ) 了(˙ㄌㄜ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˋ,「飯量」的量讀作 ㄌㄧㄤˋ。
"工(ㄍㄨㄥ) 人(ㄖㄣˊ) 正(ㄓㄥˋ) 在(ㄗㄞˋ) 測(ㄘㄜˋ) 量(ㄌㄧㄤˊ) 房(ㄈㄤˊ) 間(ㄐㄧㄢ) 的(˙ㄉㄜ) 大(ㄉㄚˋ) 小(ㄒㄧㄠˇ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˊ,「測量」的量讀作 ㄌㄧㄤˊ。
"老(ㄌㄠˇ) 師(ㄕ) 在(ㄗㄞˋ) 安(ㄢ) 排(ㄆㄞˊ) 活(ㄏㄨㄛˊ) 動(ㄉㄨㄥˋ) 時(ㄕˊ) ， 會(ㄏㄨㄟˋ) 先(ㄒㄧㄢ) 考(ㄎㄠˇ) 量(ㄌㄧㄤˊ) 大(ㄉㄚˋ) 家(ㄐㄧㄚ) 的(˙ㄉㄜ) 安(ㄢ) 全(ㄑㄩㄢˊ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˊ,「考量」的量讀作 ㄌㄧㄤˊ。
"遇(ㄩˋ) 到(ㄉㄠˋ) 問(ㄨㄣˋ) 題(ㄊㄧˊ) 時(ㄕˊ) ， 我(ㄨㄛˇ) 們(˙ㄇㄣ) 可(ㄎㄜˇ) 以(ㄧˇ) 一(ㄧˋ) 起(ㄑㄧˇ) 商(ㄕㄤ) 量(ㄌㄧㄤˊ) 辦(ㄅㄢˋ) 法(ㄈㄚˇ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˊ,「商量」的量讀作 ㄌㄧㄤˊ。
"老(ㄌㄠˇ) 師(ㄕ) 拿(ㄋㄚˊ) 著(˙ㄓㄜ) 量(ㄌㄧㄤˊ) 尺(ㄔˇ) 幫(ㄅㄤ) 同(ㄊㄨㄥˊ) 學(ㄒㄩㄝˊ) 量(ㄌㄧㄤˊ) 身(ㄕㄣ) 高(ㄍㄠ) 。",量,ㄌㄧㄤˊ|ㄌㄧㄤˋ,ㄌㄧㄤˊ,「量尺、量身高」的量讀作 ㄌㄧㄤˊ。
"弟(ㄉㄧˋ) 弟(˙ㄉㄧ) 突(ㄊㄨˊ) 然(ㄖㄢˊ) 大(ㄉㄚˋ) 叫(ㄐㄧㄠˋ) 一(ㄧˊ) 聲(ㄕㄥ) ， 真(ㄓㄣ) 是(ㄕˋ) 嚇(ㄒㄧㄚˋ) 人(ㄖㄣˊ) 。",嚇,ㄒㄧㄚˋ|ㄏㄜˋ,ㄒㄧㄚˋ,「嚇人」的嚇讀作 ㄒㄧㄚˋ。
"不(ㄅㄨˋ) 可(ㄎㄜˇ) 以(ㄧˇ) 用(ㄩㄥˋ) 言(ㄧㄢˊ) 語(ㄩˇ) 恐(ㄎㄨㄥˇ) 嚇(ㄏㄜˋ) 別(ㄅㄧㄝˊ) 人(ㄖㄣˊ) 。",嚇,ㄒㄧㄚˋ|ㄏㄜˋ,ㄏㄜˋ,「恐嚇」的嚇讀作 ㄏㄜˋ。
"小(ㄒㄧㄠˇ) 貓(ㄇㄠ) 突(ㄊㄨˊ) 然(ㄖㄢˊ) 跑(ㄆㄠˇ) 出(ㄔㄨ) 來(ㄌㄞˊ) ， 把(ㄅㄚˇ) 我(ㄨㄛˇ) 嚇(ㄒㄧㄚˋ) 一(ㄧˊ) 跳(ㄊㄧㄠˋ) 。",嚇,ㄒㄧㄚˋ|ㄏㄜˋ,ㄒㄧㄚˋ,「嚇一跳」的嚇讀作 ㄒㄧㄚˋ。
"妹(ㄇㄟˋ) 妹(˙ㄇㄟ) 被(ㄅㄟˋ) 雷(ㄌㄟˊ) 聲(ㄕㄥ) 嚇(ㄒㄧㄚˋ) 哭(ㄎㄨ) 了(˙ㄌㄜ) 。",嚇,ㄒㄧㄚˋ|ㄏㄜˋ,ㄒㄧㄚˋ,「嚇哭」的嚇讀作 ㄒㄧㄚˋ。
"警(ㄐㄧㄥˇ) 方(ㄈㄤ) 依(ㄧ) 法(ㄈㄚˇ) 處(ㄔㄨˇ) 理(ㄌㄧˇ) 恫(ㄉㄨㄥˋ) 嚇(ㄏㄜˋ) 他(ㄊㄚ) 人(ㄖㄣˊ) 的(˙ㄉㄜ) 行(ㄒㄧㄥˊ) 為(ㄨㄟˊ) 。",嚇,ㄒㄧㄚˋ|ㄏㄜˋ,ㄏㄜˋ,「恫嚇」的嚇讀作 ㄏㄜˋ。
"因(ㄧㄣ) 為(ㄨㄟˋ) 搬(ㄅㄢ) 家(ㄐㄧㄚ) ， 他(ㄊㄚ) 下(ㄒㄧㄚˋ) 學(ㄒㄩㄝˊ) 期(ㄑㄧˊ) 要(ㄧㄠˋ) 轉(ㄓㄨㄢˇ) 學(ㄒㄩㄝˊ) 。",轉,ㄓㄨㄢˇ|ㄓㄨㄢˋ,ㄓㄨㄢˇ,「轉學」的轉讀作 ㄓㄨㄢˇ。
"騎(ㄑㄧˊ) 腳(ㄐㄧㄠˇ) 踏(ㄊㄚˋ) 車(ㄔㄜ) 轉(ㄓㄨㄢˇ) 彎(ㄨㄢ) 時(ㄕˊ) 要(ㄧㄠˋ) 小(ㄒㄧㄠˇ) 心(ㄒㄧㄣ) 。",轉,ㄓㄨㄢˇ|ㄓㄨㄢˋ,ㄓㄨㄢˇ,「轉彎」的轉讀作 ㄓㄨㄢˇ。
"經(ㄐㄧㄥ) 過(ㄍㄨㄛˋ) 努(ㄋㄨˇ) 力(ㄌㄧˋ) 後(ㄏㄡˋ) ， 他(ㄊㄚ) 的(˙ㄉㄜ) 態(ㄊㄞˋ) 度(ㄉㄨˋ) 有(ㄧㄡˇ) 了(˙ㄌㄜ) 很(ㄏㄣˇ) 大(ㄉㄚˋ) 的(˙ㄉㄜ) 轉(ㄓㄨㄢˇ) 變(ㄅㄧㄢˋ) 。",轉,ㄓㄨㄢˇ|ㄓㄨㄢˋ,ㄓㄨㄢˇ,「轉變」的轉讀作 ㄓㄨㄢˇ。
"請(ㄑㄧㄥˇ) 你(ㄋㄧˇ) 幫(ㄅㄤ) 我(ㄨㄛˇ) 轉(ㄓㄨㄢˇ) 告(ㄍㄠˋ) 老(ㄌㄠˇ) 師(ㄕ) ， 我(ㄨㄛˇ) 明(ㄇㄧㄥˊ) 天(ㄊㄧㄢ) 會(ㄏㄨㄟˋ) 準(ㄓㄨㄣˇ) 時(ㄕˊ) 到(ㄉㄠˋ) 。",轉,ㄓㄨㄢˇ|ㄓㄨㄢˋ,ㄓㄨㄢˇ,「轉告」的轉讀作 ㄓㄨㄢˇ。
"地(ㄉㄧˋ) 球(ㄑㄧㄡˊ) 每(ㄇㄟˇ) 天(ㄊㄧㄢ) 都(ㄉㄡ) 會(ㄏㄨㄟˋ) 自(ㄗˋ) 轉(ㄓㄨㄢˋ) 。",轉,ㄓㄨㄢˇ|ㄓㄨㄢˋ,ㄓㄨㄢˋ,「自轉」的轉讀作 ㄓㄨㄢˋ。
"我(ㄨㄛˇ) 坐(ㄗㄨㄛˋ) 了(˙ㄌㄜ) 很(ㄏㄣˇ) 久(ㄐㄧㄡˇ) 的(˙ㄉㄜ) 旋(ㄒㄩㄢˊ) 轉(ㄓㄨㄢˋ) 木(ㄇㄨˋ) 馬(ㄇㄚˇ) ， 下(ㄒㄧㄚˋ) 來(ㄌㄞˊ) 後(ㄏㄡˋ) 暈(ㄩㄣ) 頭(ㄊㄡˊ) 轉(ㄓㄨㄢˋ) 向(ㄒㄧㄤˋ) 。",轉,ㄓㄨㄢˇ|ㄓㄨㄢˋ,ㄓㄨㄢˋ,「旋轉、轉向」的轉讀作 ㄓㄨㄢˋ。
"老(ㄌㄠˇ) 師(ㄕ) 請(ㄑㄧㄥˇ) 班(ㄅㄢ) 長(ㄓㄤˇ) 把(ㄅㄚˇ) 通(ㄊㄨㄥ) 知(ㄓ) 單(ㄉㄢ) 轉(ㄓㄨㄢˇ) 交(ㄐㄧㄠ) 給(ㄍㄟˇ) 同(ㄊㄨㄥˊ) 學(ㄒㄩㄝˊ) 。",轉,ㄓㄨㄢˇ|ㄓㄨㄢˋ,ㄓㄨㄢˇ,「轉交」的轉讀作 ㄓㄨㄢˇ。
"小(ㄒㄧㄠˇ) 狗(ㄍㄡˇ) 看(ㄎㄢˋ) 到(ㄉㄠˋ) 主(ㄓㄨˇ) 人(ㄖㄣˊ) 回(ㄏㄨㄟˊ) 家(ㄐㄧㄚ) ， 高(ㄍㄠ) 興(ㄒㄧㄥˋ) 得(˙ㄉㄜ) 一(ㄧˋ) 直(ㄓˊ) 轉(ㄓㄨㄢˋ) 圈(ㄑㄩㄢ) 。",轉,ㄓㄨㄢˇ|ㄓㄨㄢˋ,ㄓㄨㄢˋ,「轉圈」的轉讀作 ㄓㄨㄢˋ。
"我(ㄨㄛˇ) 最(ㄗㄨㄟˋ) 喜(ㄒㄧˇ) 歡(ㄏㄨㄢ) 上(ㄕㄤˋ) 的(˙ㄉㄜ) 課(ㄎㄜˋ) 是(ㄕˋ) 數(ㄕㄨˋ) 學(ㄒㄩㄝˊ) 。",數,ㄕㄨˇ|ㄕㄨˋ,ㄕㄨˋ,「數學」的數讀作 ㄕㄨˋ。
"天(ㄊㄧㄢ) 上(ㄕㄤˋ) 的(˙ㄉㄜ) 星(ㄒㄧㄥ) 星(ㄒㄧㄥ) 多(ㄉㄨㄛ) 得(˙ㄉㄜ) 數(ㄕㄨˇ) 不(ㄅㄨˋ) 清(ㄑㄧㄥ) 。",數,ㄕㄨˇ|ㄕㄨˋ,ㄕㄨˇ,「數不清」的數讀作 ㄕㄨˇ。
"媽(ㄇㄚ) 媽(˙ㄇㄚ) 正(ㄓㄥˋ) 在(ㄗㄞˋ) 數(ㄕㄨˇ) 落(ㄌㄨㄛˋ) 哥(ㄍㄜ) 哥(˙ㄍㄜ) 不(ㄅㄨˋ) 愛(ㄞˋ) 整(ㄓㄥˇ) 理(ㄌㄧˇ) 房(ㄈㄤˊ) 間(ㄐㄧㄢ) 。",數,ㄕㄨˇ|ㄕㄨˋ,ㄕㄨˇ,「數落」的數讀作 ㄕㄨˇ。
"他(ㄊㄚ) 是(ㄕˋ) 班(ㄅㄢ) 上(ㄕㄤˋ) 數(ㄕㄨˇ) 一(ㄧˊ) 數(ㄕㄨˋ) 二(ㄦˋ) 的(˙ㄉㄜ) 高(ㄍㄠ) 手(ㄕㄡˇ) 。",數,ㄕㄨˇ|ㄕㄨˋ,ㄕㄨˇ,「數一數二」前面的數讀作 ㄕㄨˇ。
"這(ㄓㄜˋ) 種(ㄓㄨㄥˇ) 事(ㄕˋ) 情(ㄑㄧㄥˊ) 現(ㄒㄧㄢˋ) 在(ㄗㄞˋ) 已(ㄧˇ) 經(ㄐㄧㄥ) 數(ㄕㄨˋ) 見(ㄐㄧㄢˋ) 不(ㄅㄨˋ) 鮮(ㄒㄧㄢ) ， 大(ㄉㄚˋ) 家(ㄐㄧㄚ) 都(ㄉㄡ) 不(ㄅㄨˋ) 覺(ㄐㄩㄝˊ) 得(˙ㄉㄜ) 奇(ㄑㄧˊ) 怪(ㄍㄨㄞˋ) 了(˙ㄌㄜ) 。",數,ㄕㄨˇ|ㄕㄨˋ,ㄕㄨˋ,「數見不鮮」的數讀作 ㄕㄨˋ。
"因(ㄧㄣ) 為(ㄨㄟˋ) 連(ㄌㄧㄢˊ) 日(ㄖˋ) 下(ㄒㄧㄚˋ) 雨(ㄩˇ) ， 天(ㄊㄧㄢ) 空(ㄎㄨㄥ) 已(ㄧˇ) 經(ㄐㄧㄥ) 數(ㄕㄨˋ) 天(ㄊㄧㄢ) 沒(ㄇㄟˊ) 有(ㄧㄡˇ) 放(ㄈㄤˋ) 晴(ㄑㄧㄥˊ) 了(˙ㄌㄜ) 。",數,ㄕㄨˇ|ㄕㄨˋ,ㄕㄨˋ,「數天」的數讀作 ㄕㄨˋ。
"他(ㄊㄚ) 努(ㄋㄨˇ) 力(ㄌㄧˋ) 克(ㄎㄜˋ) 服(ㄈㄨˊ) 困(ㄎㄨㄣˋ) 難(ㄋㄢˊ) ， 希(ㄒㄧ) 望(ㄨㄤˋ) 能(ㄋㄥˊ) 平(ㄆㄧㄥˊ) 安(ㄢ) 度(ㄉㄨˋ) 過(ㄍㄨㄛˋ) 這(ㄓㄜˋ) 場(ㄔㄤˇ) 劫(ㄐㄧㄝˊ) 數(ㄕㄨˋ) 。",數,ㄕㄨˇ|ㄕㄨˋ,ㄕㄨˋ,「劫數」的數讀作 ㄕㄨˋ。
"只(ㄓˇ) 要(ㄧㄠˋ) 努(ㄋㄨˇ) 力(ㄌㄧˋ) ， 就(ㄐㄧㄡˋ) 能(ㄋㄥˊ) 縮(ㄙㄨㄛ) 短(ㄉㄨㄢˇ) 彼(ㄅㄧˇ) 此(ㄘˇ) 的(˙ㄉㄜ) 差(ㄔㄚ) 距(ㄐㄩˋ) 。",差,ㄔㄚ|ㄔㄞ,ㄔㄚ,「差距」的差讀作 ㄔㄚ。
"我(ㄨㄛˇ) 們(˙ㄇㄣ) 差(ㄔㄚˋ) 不(ㄅㄨˋ) 多(ㄉㄨㄛ) 該(ㄍㄞ) 出(ㄔㄨ) 門(ㄇㄣˊ) 了(˙ㄌㄜ) 。",差,ㄔㄚ|ㄔㄚˋ,ㄔㄚˋ,「差不多」的差讀作 ㄔㄚˋ。
"今(ㄐㄧㄣ) 天(ㄊㄧㄢ) 的(˙ㄉㄜ) 表(ㄅㄧㄠˇ) 現(ㄒㄧㄢˋ) 有(ㄧㄡˇ) 點(ㄉㄧㄢˇ) 差(ㄔㄚ) 勁(ㄐㄧㄣˋ) ， 我(ㄨㄛˇ) 要(ㄧㄠˋ) 再(ㄗㄞˋ) 加(ㄐㄧㄚ) 油(ㄧㄡˊ) 。",差,ㄔㄚ|ㄔㄞ,ㄔㄚ,「差勁」的差讀作 ㄔㄚ。
"古(ㄍㄨˇ) 代(ㄉㄞˋ) 皇(ㄏㄨㄤˊ) 帝(ㄉㄧˋ) 常(ㄔㄤˊ) 差(ㄔㄞ) 遣(ㄑㄧㄢˇ) 使(ㄕˇ) 者(ㄓㄜˇ) 到(ㄉㄠˋ) 各(ㄍㄜˋ) 地(ㄉㄧˋ) 。",差,ㄔㄚ|ㄔㄞ,ㄔㄞ,「差遣」的差讀作 ㄔㄞ。
"他(ㄊㄚ) 找(ㄓㄠˇ) 到(ㄉㄠˋ) 一(ㄧˊ) 份(ㄈㄣˋ) 不(ㄅㄨˋ) 錯(ㄘㄨㄛˋ) 的(˙ㄉㄜ) 差(ㄔㄞ) 事(ㄕˋ) 。",差,ㄔㄚ|ㄔㄞ,ㄔㄞ,「差事」的差讀作 ㄔㄞ。
"這(ㄓㄜˋ) 次(ㄘˋ) 比(ㄅㄧˇ) 賽(ㄙㄞˋ) 的(˙ㄉㄜ) 表(ㄅㄧㄠˇ) 現(ㄒㄧㄢˋ) 雖(ㄙㄨㄟ) 然(ㄖㄢˊ) 不(ㄅㄨˋ) 完(ㄨㄢˊ) 美(ㄇㄟˇ) ， 但(ㄉㄢˋ) 還(ㄏㄞˊ) 算(ㄙㄨㄢˋ) 差(ㄔㄚ) 強(ㄑㄧㄤˊ) 人(ㄖㄣˊ) 意(ㄧˋ) 。",差,ㄔㄚ|ㄔㄞ,ㄔㄚ,「差強人意」的差讀作 ㄔㄚ。
"每(ㄇㄟˇ) 天(ㄊㄧㄢ) 早(ㄗㄠˇ) 上(ㄕㄤˋ) ， 郵(ㄧㄡˊ) 差(ㄔㄞ) 都(ㄉㄡ) 會(ㄏㄨㄟˋ) 準(ㄓㄨㄣˇ) 時(ㄕˊ) 送(ㄙㄨㄥˋ) 信(ㄒㄧㄣˋ) 來(ㄌㄞˊ) 。",差,ㄔㄚ|ㄔㄞ,ㄔㄞ,「郵差」的差讀作 ㄔㄞ。
"樹(ㄕㄨˋ) 木(ㄇㄨˋ) 高(ㄍㄠ) 低(ㄉㄧ) 參(ㄘㄣ) 差(ㄘ) ， 看(ㄎㄢˋ) 起(ㄑㄧˇ) 來(ㄌㄞˊ) 很(ㄏㄣˇ) 有(ㄧㄡˇ) 層(ㄘㄥˊ) 次(ㄘˋ) 。",參,ㄘㄢ|ㄘㄣ,ㄘㄣ,「參差」的參讀作 ㄘㄣ。
"嫦(ㄔㄤˊ) 娥(ㄜˊ) 奔(ㄅㄣ) 月(ㄩㄝˋ) 是(ㄕˋ) 大(ㄉㄚˋ) 家(ㄐㄧㄚ) 熟(ㄕㄨˊ) 悉(ㄒㄧ) 的(˙ㄉㄜ) 傳(ㄔㄨㄢˊ) 說(ㄕㄨㄛ) 。",傳,ㄔㄨㄢˊ|ㄓㄨㄢˋ,ㄔㄨㄢˊ,「傳說」的傳讀作 ㄔㄨㄢˊ。
